file	size_bytes	status	baseline_min_ms	baseline_median_ms	baseline_mean_ms	baseline_max_ms	tested_min_ms	tested_median_ms	tested_mean_ms	tested_max_ms	ratio_baseline_over_tested	baseline_error	tested_error
cpython-3.8/Lib/distutils/tests/test_version.py	2614	ok	18.573341	19.443710	19.552959	20.920102	0.388706	0.541554	0.667950	1.053502	35.903534		
cpython-3.8/Lib/distutils/tests/test_versionpredicate.py	280	ok	17.394379	19.828253	19.294467	21.475803	0.261626	0.390299	0.493075	0.956618	50.802706		
cpython-3.8/Lib/distutils/__init__.py	236	ok	17.474265	19.131059	19.347031	21.301213	0.249167	0.327851	0.348889	0.651177	58.352985		
cpython-3.8/Lib/distutils/_msvccompiler.py	20050	ok	19.638947	21.415901	21.471193	23.578774	0.683928	0.790180	0.949960	1.436937	27.102563		
cpython-3.8/Lib/distutils/archive_util.py	8572	ok	19.273879	20.029272	20.220514	21.292859	0.512301	0.568798	0.672953	1.402937	35.213322		
cpython-3.8/Lib/distutils/bcppcompiler.py	14935	ok	18.940886	19.919495	20.570737	22.676639	0.601332	0.721139	0.904138	1.598686	27.622276		
cpython-3.8/Lib/distutils/ccompiler.py	47433	ok	20.341113	21.739378	22.014885	23.917309	0.857622	1.452605	1.406097	2.245062	14.965787		
cpython-3.8/Lib/distutils/cmd.py	18079	ok	20.053682	20.672378	20.517175	20.832840	0.569850	0.687891	0.826326	1.310846	30.051813		
cpython-3.8/Lib/distutils/config.py	4827	ok	19.037721	19.681121	19.851159	20.822971	0.428294	0.485844	0.499902	0.705793	40.509099		
cpython-3.8/Lib/distutils/core.py	8876	ok	19.155723	19.921544	19.933540	20.846873	0.463306	1.041669	1.077249	2.335364	19.124643		
cpython-3.8/Lib/distutils/cygwinccompiler.py	16478	ok	20.121904	20.437451	20.534900	21.109769	0.531821	0.705274	0.812261	1.198179	28.978031		
cpython-3.8/Lib/distutils/debug.py	139	ok	18.246606	19.265581	19.270323	20.273762	0.244643	0.305514	0.389082	0.782648	63.059516		
cpython-3.8/Lib/distutils/dep_util.py	3491	ok	18.683987	20.267211	19.975052	20.757354	0.525162	0.912442	0.980125	1.891545	22.212062		
cpython-3.8/Lib/distutils/dir_util.py	7778	ok	19.579667	20.208884	20.250992	20.869005	0.504616	0.622355	0.734128	1.156806	32.471659		
cpython-3.8/Lib/distutils/dist.py	50385	ok	22.063257	23.370608	23.378507	24.976841	1.078101	1.517537	1.408132	1.670927	15.400352		
cpython-3.8/Lib/distutils/errors.py	3577	ok	19.005357	19.636048	19.658391	20.490772	0.319339	0.416945	0.500893	0.981695	47.095102		
cpython-3.8/Lib/distutils/extension.py	10515	ok	18.842471	19.186636	19.855664	22.102178	0.495888	0.590375	0.920430	2.097829	32.499059		
cpython-3.8/Lib/distutils/fancy_getopt.py	17784	ok	18.768713	20.758028	20.608416	22.768059	0.578853	0.637572	0.807134	1.601572	32.557910		
cpython-3.8/Lib/distutils/file_util.py	8148	ok	18.230749	20.259957	20.049818	21.188481	0.545810	1.082695	1.141226	2.599715	18.712525		
cpython-3.8/Lib/distutils/filelist.py	12832	ok	19.984509	20.431276	20.443188	20.805227	0.537085	0.706004	0.794539	1.347622	28.939325		
cpython-3.8/Lib/distutils/log.py	1969	ok	17.944580	19.821352	19.534484	20.688026	0.393203	0.434624	0.583784	1.007290	45.605735		
cpython-3.8/Lib/distutils/msvc9compiler.py	30511	ok	20.453799	22.038122	22.229094	23.733697	0.846803	0.968688	1.107374	1.566923	22.750485		
cpython-3.8/Lib/distutils/msvccompiler.py	23564	ok	20.008834	21.922846	21.824521	23.682225	0.834275	1.314133	1.236343	1.584578	16.682360		
cpython-3.8/Lib/distutils/spawn.py	7843	ok	18.907355	19.575706	19.912737	21.361038	0.408666	0.557065	0.674697	1.053454	35.140805		
cpython-3.8/Lib/distutils/sysconfig.py	20390	ok	19.923289	21.152408	21.311791	22.720991	0.694769	1.059347	1.140333	1.800026	19.967400		
cpython-3.8/Lib/distutils/text_file.py	12483	ok	18.281212	19.559992	19.905158	22.242671	0.432303	0.575015	0.690688	1.074837	34.016485		
cpython-3.8/Lib/distutils/unixccompiler.py	14754	ok	18.573874	20.875001	20.736563	22.408248	0.699322	1.097460	1.127827	1.963973	19.021191		
cpython-3.8/Lib/distutils/util.py	20892	ok	19.761928	20.813741	21.021506	22.276472	0.660918	0.773234	0.917357	1.256789	26.917782		
cpython-3.8/Lib/distutils/version.py	12345	ok	18.027708	20.549924	20.148692	21.879016	0.603661	1.141541	1.212652	3.347886	18.001916		
cpython-3.8/Lib/distutils/versionpredicate.py	5133	ok	18.248168	20.077525	19.921694	20.765016	0.418105	0.572822	0.713239	1.133698	35.050187		
cpython-3.8/Lib/email/mime/__init__.py	0	ok	17.199202	18.870867	19.043501	21.111598	0.233249	0.395865	0.483338	0.856839	47.669999		
cpython-3.8/Lib/email/mime/application.py	1321	ok	17.475886	19.392159	19.198961	20.549392	0.275761	0.353137	0.537491	1.036064	54.913971		
cpython-3.8/Lib/email/mime/audio.py	2739	ok	17.978042	18.874572	19.559295	21.733157	0.413188	0.869210	0.790533	1.121568	21.714617		
cpython-3.8/Lib/email/mime/base.py	916	ok	17.505304	19.704845	19.455681	21.625715	0.317422	0.453224	0.638434	1.230205	43.477074		
cpython-3.8/Lib/email/mime/image.py	1829	ok	18.280456	19.180168	19.260864	20.637221	0.298549	0.430835	0.553743	0.857243	44.518612		
cpython-3.8/Lib/email/mime/message.py	1317	ok	17.813211	20.917094	20.648954	22.017332	0.222601	0.343480	0.567402	1.165850	60.897567		
cpython-3.8/Lib/email/mime/multipart.py	1621	ok	18.701249	20.692311	20.518727	21.845091	0.300326	0.474993	0.714928	1.493382	43.563421		
cpython-3.8/Lib/email/mime/nonmultipart.py	691	ok	17.600621	19.120147	19.345610	21.299201	0.257104	0.365603	0.550523	1.406479	52.297626		
cpython-3.8/Lib/email/mime/text.py	1437	ok	17.271642	19.305897	19.097795	21.025058	0.267682	0.415867	0.521690	0.890087	46.423246		
cpython-3.8/Lib/email/__init__.py	1766	ok	17.282440	19.553323	19.178142	20.932532	0.277854	0.394267	0.529375	1.155221	49.594160		
cpython-3.8/Lib/email/_encoded_words.py	8524	ok	18.143084	19.596498	20.137583	22.036985	0.481455	0.656766	0.926081	2.172709	29.837858		
cpython-3.8/Lib/email/_header_value_parser.py	107183	ok	28.196209	29.649630	29.733582	31.141206	2.039146	2.209099	2.431658	3.337476	13.421597		
cpython-3.8/Lib/email/_parseaddr.py	17684	ok	19.281035	21.410162	21.170785	22.943559	0.640218	0.756726	0.840474	1.411176	28.293148		
cpython-3.8/Lib/email/_policybase.py	15534	ok	18.892588	19.831455	19.999947	21.123259	0.553144	1.002808	1.087252	2.513854	19.775930		
cpython-3.8/Lib/email/base64mime.py	3558	ok	18.866148	19.632676	19.582932	20.357614	0.368146	0.703527	0.706948	1.252557	27.906071		
cpython-3.8/Lib/email/charset.py	17128	ok	19.627979	20.316361	20.278110	21.105278	0.511152	0.555286	0.662502	1.091951	36.587180		
cpython-3.8/Lib/email/contentmanager.py	10699	ok	18.939599	20.247303	20.611497	22.706449	0.564041	0.695082	0.875351	1.574181	29.129373		
cpython-3.8/Lib/email/encoders.py	1786	ok	17.398822	18.753260	19.225326	21.727766	0.298844	0.424666	0.566674	1.075005	44.160068		
cpython-3.8/Lib/email/errors.py	3726	ok	18.722376	19.622166	19.570282	20.426339	0.411240	0.449811	0.545803	1.300831	43.623153		
cpython-3.8/Lib/email/feedparser.py	22780	ok	19.977576	20.945300	20.808912	21.784048	0.672110	0.824504	1.067018	1.936800	25.403511		
cpython-3.8/Lib/email/generator.py	20956	ok	18.962332	21.308445	20.997781	23.001547	0.634855	0.709654	0.785338	1.150656	30.026517		
cpython-3.8/Lib/email/header.py	24102	ok	19.440483	21.294844	21.367863	23.285666	0.694891	0.817996	0.963240	1.413389	26.032945		
cpython-3.8/Lib/email/headerregistry.py	20811	ok	19.522208	21.340936	21.409039	23.478318	0.740960	1.274199	1.340086	2.549423	16.748512		
cpython-3.8/Lib/email/iterators.py	2135	ok	17.548701	19.744764	19.478426	20.851031	0.364563	0.482088	0.579071	1.186049	40.956776		
cpython-3.8/Lib/email/message.py	47072	ok	21.080241	23.203979	23.050218	24.498442	1.070451	1.336184	1.485635	2.158080	17.365854		
cpython-3.8/Lib/email/parser.py	5041	ok	17.636129	18.812840	19.425021	22.152200	0.401148	0.540948	0.814423	1.907118	34.777557		
cpython-3.8/Lib/email/policy.py	10383	ok	18.773299	19.266518	19.896875	21.637424	0.446547	0.559310	0.678800	1.375340	34.446912		
cpython-3.8/Lib/email/quoprimime.py	9858	ok	19.121382	19.574640	19.888536	20.993924	0.521201	1.131675	1.121397	2.776446	17.297046		
cpython-3.8/Lib/email/utils.py	17278	ok	18.901991	21.296347	20.926903	22.891419	0.615959	0.714714	0.829171	1.423860	29.797000		
cpython-3.8/Lib/encodings/__init__.py	5588	ok	17.935501	20.369611	19.898274	21.390463	0.545631	1.064593	1.139905	3.092717	19.133705		
cpython-3.8/Lib/encodings/aliases.py	15693	ok	18.977630	20.474126	20.221958	21.164710	0.386173	0.608202	0.773280	1.488036	33.663369		
cpython-3.8/Lib/encodings/ascii.py	1248	ok	17.370194	19.811997	19.273485	21.055571	0.333771	0.460263	0.567352	1.157211	43.044986		
cpython-3.8/Lib/encodings/base64_codec.py	1533	ok	18.039825	19.211084	19.640343	22.155380	0.379706	0.420903	0.436683	0.526304	45.642499		
cpython-3.8/Lib/encodings/big5.py	1019	ok	17.455345	19.657001	19.418510	21.314585	0.318683	0.445901	0.587811	1.066902	44.083756		
cpython-3.8/Lib/encodings/big5hkscs.py	1039	ok	18.491702	19.074415	19.233092	20.386866	0.411783	0.920335	0.782646	1.054770	20.725523		
cpython-3.8/Lib/encodings/bz2_codec.py	2249	ok	17.903208	20.106252	19.857193	21.556423	0.451453	0.605082	0.781964	1.661018	33.228960		
cpython-3.8/Lib/encodings/charmap.py	2084	ok	17.972767	19.643663	19.653103	21.626778	0.326694	0.570563	0.601610	0.874453	34.428558		
cpython-3.8/Lib/encodings/cp037.py	13121	ok	18.126785	19.333356	19.717080	21.568434	0.386273	0.621020	0.665384	1.065627	31.131603		
cpython-3.8/Lib/encodings/cp1006.py	13568	ok	18.261380	19.502341	19.578599	20.651692	0.448948	0.901236	0.872430	1.584631	21.639545		
cpython-3.8/Lib/encodings/cp1026.py	13113	ok	19.215802	19.731882	19.736700	20.281250	0.430157	0.735900	0.696494	0.963940	26.813282		
cpython-3.8/Lib/encodings/cp1125.py	34597	ok	19.182654	20.526597	20.742354	22.398403	0.602647	1.129427	1.098510	1.974153	18.174351		
cpython-3.8/Lib/encodings/cp1140.py	13105	ok	17.818414	20.150803	19.847452	21.709693	0.454601	0.715040	0.806273	1.694697	28.181383		
cpython-3.8/Lib/encodings/cp1250.py	13686	ok	17.759165	19.558494	19.523176	21.685980	0.361620	0.517987	0.616546	1.036791	37.758628		
